 ,Company,Part#,LOT#,MFG#,DTE,QTY
input_dir\ALL_company\AKOUSTIS(1).jpg,AKOUSTIS,AKF1252EVB,10290,10290,1952,5
input_dir\ALL_company\AKOUSTIS(2).jpg,AKOUSTIS,AKF1252EVB,10290_J04,10290,T,1
input_dir\ALL_company\AKOUSTIS(3).jpg,AKOUSTIS,AKF1252,PC48131TOB,2383,T,1000
input_dir\ALL_company\AKOUSTIS(5).jpg,AKOUSTIS,AKF1256,1028511,10285,T,1000
input_dir\ALL_company\AKOUSTIS(6).jpg,AKOUSTIS,AKF1256,10285_11,10285,T,1000
input_dir\ALL_company\AKOUSTIS(1).jpg,AKOUSTIS,AKF1252EVB,10290,10290,1952,5
input_dir\ALL_company\AKOUSTIS(2).jpg,AKOUSTIS,AKF1252EVB,10290_J04,10290,T,1
input_dir\ALL_company\AKOUSTIS(3).jpg,AKOUSTIS,AKF1252,PC48131TOB,2383,T,1000
input_dir\ALL_company\AKOUSTIS(5).jpg,AKOUSTIS,AKF1256,1028511,10285,T,1000
input_dir\ALL_company\AKOUSTIS(6).jpg,AKOUSTIS,AKF1256,10285_11,10285,T,1000
input_dir\ALL_company\AKOUSTIS(1).jpg,AKOUSTIS,AKF1252EVB,10290,10290,1952,5
input_dir\ALL_company\AKOUSTIS(2).jpg,AKOUSTIS,AKF1252EVB,10290_J04,10290,T,1
input_dir\ALL_company\AKOUSTIS(3).jpg,AKOUSTIS,AKF1252,PC48131TOB,2383,T,1000
input_dir\ALL_company\AKOUSTIS(5).jpg,AKOUSTIS,AKF1256,1028511,10285,T,1000
input_dir\ALL_company\AKOUSTIS(6).jpg,AKOUSTIS,AKF1256,10285_11,10285,T,1000
