 ,Company,Gemalto PN,EDOM PN,LOT#,Date code,Quantity,COO,MSL,BOX#,REEL#
input_dir\ALL_company\EDOM(2).jpg,EDOM,A1719565,TRIO-EUICC-MFONLY,4500248909, 1801 II,110,China,1,1/1,-
input_dir\ALL_company\EDOM(3).jpg,EDOM,-,MFXS-A028a-MFOCMW,4500349909,2123,3000,China,1,MFXS-A028a-MFOCMW,-
input_dir\ALL_company\EDOM(4).jpg,EDOM,-,MFXS-A028a-MFOCMW,4500349909,2123,3000,China,1,2123,1
input_dir\ALL_company\EDOM(5).jpg,EDOM,1,MFXS-A028a-MFOCMW,4500349909,2123,3000,China,2123,-,1
input_dir\ALL_company\EDOM(8).jpg,EDOM,-,MFF2-TEST-CMW500,4500230958,1824,500,France,3,500,1
input_dir\ALL_company\EDOM(9).jpg,EDOM,-,MFF2-TEST-CMW500,4500230958,1824,500,France,3,-,1
input_dir\ALL_company\EDOM(2).jpg,EDOM,A1719565,TRIO-EUICC-MFONLY,4500248909, 1801 II,110,China,1,1/1,-
input_dir\ALL_company\EDOM(3).jpg,EDOM,-,MFXS-A028a-MFOCMW,4500349909,2123,3000,China,1,2123,-
input_dir\ALL_company\EDOM(4).jpg,EDOM,-,MFXS-A028a-MFOCMW,4500349909,2123,3000,China,1,3000,1
input_dir\ALL_company\EDOM(5).jpg,EDOM,1,MFXS-A028a-MFOCMW,4500349909,2123,3000,China,2123,3000,1
input_dir\ALL_company\EDOM(8).jpg,EDOM,-,MFF2-TEST-CMW500,4500230958,1824,500,France,3,500,1
input_dir\ALL_company\EDOM(9).jpg,EDOM,-,MFF2-TEST-CMW500,4500230958,1824,500,France,3,500,1
input_dir\ALL_company\EDOM(2).jpg,EDOM,A1719565,TRIO-EUICC-MFONLY,4500248909, 1801 II,110,China,1,1/1,-
input_dir\ALL_company\EDOM(3).jpg,EDOM,-,MFXS-A028a-MFOCMW,4500349909,2123,3000,China,1,MFXS-A028a-MFOCMW,-
input_dir\ALL_company\EDOM(4).jpg,EDOM,-,MFXS-A028a-MFOCMW,4500349909,2123,3000,China,1,2123,1
input_dir\ALL_company\EDOM(5).jpg,EDOM,1,MFXS-A028a-MFOCMW,4500349909,2123,3000,China,2123,-,1
input_dir\ALL_company\EDOM(8).jpg,EDOM,-,MFF2-TEST-CMW500,4500230958,1824,500,France,3,500,1
input_dir\ALL_company\EDOM(9).jpg,EDOM,-,MFF2-TEST-CMW500,4500230958,1824,500,France,3,-,1
