 ,Company,Country,SUPPLIER,DATECODE,QTY,CODE,SEALDATE
input_dir\ALL_company\Silicon_Lab(1).jpg,Silicon Laboratories Inc.,TW,SI3018-F-FSR,2116FFL0ZG,12500,1005947078,29-Jun-21
input_dir\ALL_company\Silicon_Lab(2).jpg,Silicon Laboratories Inc.,TW,SI8232BB-B-ISR,1905,1250,1905DFLOIB,03/08/19
input_dir\ALL_company\Silicon_Lab(3).jpg,Silicon Laboratories Inc.,TW,SI8232BB-B-ISR,1905,1250,1250,03/08/19
input_dir\ALL_company\Silicon_Lab(4).JPG,Silicon Laboratories Inc.,1003722684,SI4731-D60-GMR,1751D00DZM,2500,1003722684,17-Jan-18
input_dir\ALL_company\Silicon_Lab(5).jpg,Silicon Laboratories Inc.,1004197413,WT32I-A-AI6,1842A014ZV,500,1004197413,25-Oct-18
input_dir\ALL_company\Silicon_Lab(1).jpg,Silicon Laboratories Inc.,TW,SI3018-F-FSR,2116FFL0ZG,12500,1005947078,29-Jun-21
input_dir\ALL_company\Silicon_Lab(2).jpg,Silicon Laboratories Inc.,TW,SI8232BB-B-ISR,1905,1250,1905DFLOIB,03/08/19
input_dir\ALL_company\Silicon_Lab(3).jpg,Silicon Laboratories Inc.,TW,SI8232BB-B-ISR,1905,1250,1250,03/08/19
input_dir\ALL_company\Silicon_Lab(4).JPG,Silicon Laboratories Inc.,1003722684,SI4731-D60-GMR,1751D00DZM,2500,1003722684,17-Jan-18
input_dir\ALL_company\Silicon_Lab(5).jpg,Silicon Laboratories Inc.,1004197413,WT32I-A-AI6,1842A014ZV,500,1004197413,25-Oct-18
input_dir\ALL_company\Silicon_Lab(1).jpg,Silicon Laboratories Inc.,TW,SI3018-F-FSR,2116FFL0ZG,12500,1005947078,29-Jun-21
input_dir\ALL_company\Silicon_Lab(2).jpg,Silicon Laboratories Inc.,TW,SI8232BB-B-ISR,1905,1250,1905DFLOIB,03/08/19
input_dir\ALL_company\Silicon_Lab(3).jpg,Silicon Laboratories Inc.,TW,SI8232BB-B-ISR,1905,1250,1250,03/08/19
input_dir\ALL_company\Silicon_Lab(4).JPG,Silicon Laboratories Inc.,1003722684,SI4731-D60-GMR,1751D00DZM,2500,1003722684,17-Jan-18
input_dir\ALL_company\Silicon_Lab(5).jpg,Silicon Laboratories Inc.,1004197413,WT32I-A-AI6,1842A014ZV,500,1004197413,25-Oct-18
./result_dir/result_pic_orig.jpg,Silicon Laboratories Inc.,TW,SI8232B8-B-ISR,,1250,1905DFLOIB,03/08/19
