 ,Company,Date,Po no,PN,Batch#,First ID,Last ID,Quantity,COO,Sleeve#,BOX#
input_dir\ALL_company\THALES(1).jpg,THALES,2021.10.22,4500361811,MFFXS-EUICC-GLC00,GGL00078,89033023425120000000024445050046,89033023425120000000024445349970,3000,China,2 /2,-
input_dir\ALL_company\THALES(10).jpg,THALES,2021.10.27,4500356170,MFFXS-EUICC-GLCO0,GGL00075,-,-,2000,China,2/2,-
input_dir\ALL_company\THALES(11).jpg,THALES, 2021.10.22,4500361811,MFFXS-EUICC-GLCO0,GGL00078,89033023425120000000024444750025,89033023425120000000024445349970,6000,China,1/1,-
input_dir\ALL_company\THALES(12).jpg,THALES,,4500356170,MFFXS-UICC-GLC00,GGL00075,-,89033023425120000000024222221452,2000,China,2/2,-
input_dir\ALL_company\THALES(13).jpg,THALES,020.12.03,4500324736,HQ-VZW-5GSIM-HMD,VZW22030,89148000006707275697,89148000006707280689,500,CHINA,5/10,-
input_dir\ALL_company\THALES(14).jpg,THALES, 2021.10.22,4500361811,MFFXS-EUICC-GLCO0,GGL00078,89033023425120000000024444750025,89033023425120000000024445349970,6000,China,1/1,-
input_dir\ALL_company\THALES(15).jpg,THALES,2020.12.03,4500324736,HQ-VZW-5GSIM-HMD,VZW22030,-,-,3000,CHINA,-,1/2
input_dir\ALL_company\THALES(16).jpg,THALES,2020.12.03,4500324736,HQ-VZW-5GSIM-HMD,VZW22030,89148000006707285696,89148000006707305684,2000,CHINA,-,2/2
input_dir\ALL_company\THALES(17).jpg,THALES,,4500361811,MFFXS-EUICC-GLC00,GGL00078,89033023425120000000024445050046,89033023425120000000024445349970,3000,China,2/2,-
input_dir\ALL_company\THALES(6).jpg,THALES,2020.10.15,4500318042,FITG04MXS1,GGL00012,89033023425120000000001286916481,89033023425120000000001287116398,2000,China,1/1,-
input_dir\ALL_company\THALES(7).jpg,THALES,2020.10.15,4500318042,FITG04MXS1,GGL00012,Note,-,2000,China,1/1,-
